record_id,student_id,action_id,action_date
1,1,1,2024-01-10
2,2,2,2024-02-12
3,3,3,2024-03-15
4,4,4,2024-04-18
5,5,1,2024-05-20
6,6,2,2024-06-22
7,7,3,2024-07-24
8,8,4,2024-08-26
9,9,1,2024-09-28
10,10,2,2024-10-30
11,11,3,2024-11-01
12,12,4,2024-12-03
13,13,1,2024-01-05
14,14,2,2024-02-07
15,15,3,2024-03-09
16,16,4,2024-04-11
17,17,1,2024-05-13
18,18,2,2024-06-15
19,19,3,2024-07-17
20,20,4,2024-08-19
21,21,1,2024-09-21
22,22,2,2024-10-23
23,23,3,2024-11-25
24,24,4,2024-12-27
25,25,1,2024-01-29
26,26,2,2024-02-01
27,27,3,2024-03-03
28,28,4,2024-04-05
29,29,1,2024-05-07
30,30,2,2024-06-09
