application_id,student_id,application_date,status
1,1,2024-08-01,Approved
2,2,2024-08-02,Pending
3,3,2024-08-03,Approved
4,4,2024-08-04,Pending
5,5,2024-08-05,Rejected
6,6,2024-08-06,Approved
7,7,2024-08-07,Pending
8,8,2024-08-08,Approved
9,9,2024-08-09,Rejected
10,10,2024-08-10,Pending
11,11,2024-08-11,Approved
12,12,2024-08-12,Pending
13,13,2024-08-13,Approved
14,14,2024-08-14,Rejected
15,15,2024-08-15,Pending
16,16,2024-08-16,Approved
17,17,2024-08-17,Pending
18,18,2024-08-18,Rejected
19,19,2024-08-19,Approved
20,20,2024-08-20,Pending
21,21,2024-08-21,Approved
22,22,2024-08-22,Pending
23,23,2024-08-23,Rejected
24,24,2024-08-24,Approved
25,25,2024-08-25,Pending
26,26,2024-08-26,Approved
27,27,2024-08-27,Rejected
28,28,2024-08-28,Pending
29,29,2024-08-29,Approved
30,30,2024-08-30,Rejected
